base_key,base_number,base_name,base_type,base_telephone_number,website,base_address
2461,B02461,NEW HEAVEN RADIO DISPATCH CORP,LIVERY,(212)923-1212,,1059 ST NICHOLAS AVENUE NEW YORK NY 10032
53,B00053,CHARGE AND RIDE INC,BLACK-CAR,(718)392-1824,CHARGEANDRIDE.COM,41-24   38 STREET LIC NY 11101
272,B00272,BIG APPLE CAR INC,BLACK-CAR,(718)236-8765,,169 BAY   17 STREET BROOKLYN NY 11214
14,B00014,NY ONE CORP CAR INC,BLACK-CAR,(718)438-7474,,1751 BATH AVENUE BROOKLYN NY 11214
3565,B03565,"WINDSOR LIMO, INC",BLACK-CAR,(212)677-1100,WWW.WINDSORLIMO.COM,163 MINEOLA BLVD MINEOLA NY 11501
2157,B02157,REAGAN CONVEYANCE  CORP.,LUXURY,(516)861-2019,,62 MAIN STREET PT WASHINGTON NY 11050
2800,B02800,FLATIRON TRANSIT LLC,BLACK-CAR,(646)759-9889,WWW.FLATIRONTRANSIT.COM,114    5 AVENUE FLOOR 17 NEW YORK NY 10011
3706,B03706,LYRO INC.,BLACK-CAR,(646)355-8809,HTTPS:///WWW.LYRORIDE.COM/,"3808 UNION STREET STE 11A,RM13 FLUSHING NY 11354"
1667,B01667,"NEW GOLDEN HORSE C/L SVC,INC.",LIVERY,(718)358-9898,WWW.CAR8888.COM,30-50 WHITESTONE EXPRESSWAY 101A FLUSHING NY 11354
3467,B03467,SIMPLE RIDE TRANSPORTATION INC.,BLACK-CAR,(917)280-0935,,370 EAST  149 STREET SUITE 2 BRONX NY 10455
3484,B03484,MIXTECA USA INC,BLACK-CAR,(929)271-1915,,469   53 STREET BROOKLYN NY 11220
3166,B03166,TURING ENTERPRISES INC.,BLACK-CAR,(718)210-9995,TURNINGENTERPRISE.COM,2329 NOSTRAND AVENUE SUITE 100 BROOKLYN NY 11210
2243,B02243,BARONAS LUXURY II INC,BLACK-CAR,(718)492-7680,WWW.ELEGANTEBLACKCARSERVICE.COM,14 BRUCKNER BOULEVARD BRONX NY 10454
256,B00256,FAST OPERATING CORP,LIVERY,(212)666-6666,,2642 BROADWAY NEW YORK NY 10025
3015,B03015,TRI-COUNTY BLACK CARS INC,BLACK-CAR,(718)846-0747,,86-29  102 STREET RICHMOND HILL NY 11418
3047,B03047,"STS LUXURY, INC",BLACK-CAR,(718)684-4444,STSLUXURRYNYC.COM,912 SOUNDVIEW AVENUE SUITE 6 BRONX NY 10473
3291,B03291,TRACY LUXURY CORP.,BLACK-CAR,(718)313-9400,,4861 BROADWAY NEW YORK NY 10034
2739,B02739,TRAXLINE CAR SERVICE INC.,BLACK-CAR,(718)789-4901,,7 MARCUS GARVEY BOULEVARD STE 212 BROOKLYN NY 11206
2005,B02005,CAR LINE TRANSPORTATION CORP.,BLACK-CAR,(718)729-2222,,43-39   21 STREET SUITE 203 LIC NY 11101
2096,B02096,"CET GROUP, INC",BLACK-CAR,(212)965-0889,,47 LUDLOW STREET NEW YORK NY 10002
2860,B02860,EVERY WHERE LIMO SERVICE INC.,BLACK-CAR,(718)658-6008,,110-00 ROCKAWAY BOULEVARD SOUTHOZONE PARK NY 11420
2408,B02408,"PETER EXECUTIVE LIMOUSINE, CORP",BLACK-CAR,(718)784-7900,,34-39   31 STREET ASTORIA NY 11106
3593,B03593,NEW MEXICANA LIMO INC,BLACK-CAR,(718)438-2092,,507   40 STREET BROOKLYN NY 11232
3234,B03234,ALPHA EXPRESS RIDE CORP.,BLACK-CAR,(800)786-0393,WWW.ALPHAEXPRESSRIDE.COM,31 - 00   47 AVENUE SUITE 3100 LIC NY 11101
1938,B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",LUXURY,(631)753-1234,,380 NEW HWAY LINDENHURST NY 11757
3685,B03685,LOWMANS LLC,BLACK-CAR,(516)499-8038,,14 LENOX ROAD 1ST FLOOR BROOKLYN NY 11226
84,B00084,AUTOMOTIVE SVC SYSTEM INC,LUXURY,(212)966-6400,,50-21   49 STREET WOODSIDE NY 11377
3303,B03303,MOTA LUXURY CORP.,BLACK-CAR,(917)994-2332,,96-14  101 AVENUE OZONE PARK NY 11416
2315,B02315,LA MORENITA CAR LIMO SERVICE INC,LIVERY,(718)615-0039,,115 BRIGHTON   11 STREET BROOKLYN NY 11235
306,B00306,LOVE LIMOUSINE NYC LTD,BLACK-CAR,(718)633-1554,EXECUTIVECHARGE.COM,1751 BATH AVENUE BROOKLYN NY 11214
2962,B02962,"HEALTH BLACK CAR SERVICES, CORP",BLACK-CAR,(718)676-1132,,454B RIVERDALE AVENUE GROUND FLOOR YONKERS NY 10705
3669,B03669,ACCESSIBLE TRANSIT LLC,BLACK-CAR,(201)647-1858,,104 WEST   40 STREET ROOM 400 NEW YORK NY 10018
3080,B03080,AMBAR TRANSPORTATION INC.,BLACK-CAR,(718)658-2222,WWW.AMBARTRANSINC.COM,8811  169 STREET JAMAICA NY 11432
2021,B02021,EASYRIDE CAR SERVICE INC.,LIVERY,(718)444-5557,,2982 NOSTRAND AVENUE BROOKLYN NY 11229
3159,B03159,A1 ACCESSIBLE TRANSPORTATION LLC,BLACK-CAR,(212)496-0177,,57 WEST   57 STREET 4TH FLOOR NEW YORK NY 10019
2924,B02924,CELEBRITY LUXURY INC.,BLACK-CAR,(718)618-0093,,1748 EAST TREMONT AVENUE BRONX NY 10460
2840,B02840,RAELEEN CAR CORP.,BLACK-CAR,(718)975-3200,,565 VAN NEST AVENUE BRONX NY 10460
202,B00202,"EXCELSIOR CAR & LIMO, INC.",BLACK-CAR,(718)643-3900,WWW.ALLSTATELIMO.COM,241   37 STREET STE# 1-4-B460 BROOKLYN NY 11232
1854,B01854,EUROPE LIMOUSINE SERVICE INC,LUXURY,(201)477-3200,,24 FARVIEW TERRACE PARAMUS NJ 07652
2120,B02120,HARRISON GLOBAL LLC,LUXURY,(973)376-0145,WWW.BOSTONCOACH.COM,780 DOWD AVENUE ELIZABETH NJ 07201
3477,B03477,FAWA SERVICE CORPORATION,BLACK-CAR,(917)261-7100,,275 WEST  231 STREET 2C BRONX NY 10463
3288,B03288,JAROCHO CAR SERVICE CORP.,BLACK-CAR,(718)448-7180,JOROCHOCARSERVICE.COM,374 MANOR ROAD # 1 STATEN ISLAND NY 10314
2144,B02144,"SILVER STAR LIMOUSINES, INC.",LUXURY,(516)540-0040,,535 BROADHOLLOW RD MELVILLE NY 11747
608,B00608,SUMMIT CORPORATE CAR INC.,BLACK-CAR,(718)633-1554,WWW.EXECUTIVECARGE.COM,1751 BATH AVENUE BROOKLYN NY 11214
3420,B03420,TADA USA INC.,BLACK-CAR,(718)539-5680,WWW.TADATADAUSA.COM,152-53   10 AVENUE SUITE 210 WHITESTONE NY 11357
3499,B03499,ABM BLACK CAR SERVICE LLC.,BLACK-CAR,(860)494-9349,ABMBLACKCARSEVICES.COM,88 BARBER HILL ROAD SOUTH WINDSOR CT 06074
3168,B03168,KAYROS TRANSPORTATION INC,BLACK-CAR,(917)440-8678,,726 BROADWAY BAYONNE NJ 07002
2711,B02711,TRANS CITY TRANSPORTATION INC,BLACK-CAR,(212)505-0900,,43 - 23   35 STREET LIC NY 11101
2913,B02913,DAT TRANSPORTATION INC.,BLACK-CAR,(718)328-8889,,650 SOUNDVIEW AVENUE BRONX NY 10473
1051,B01051,B Q N C/S CORP,LIVERY,(718)328-1111,,1104 GARRISON AVENUE BRONX NY 10474
3578,B03578,1 NYC EMPIRE TRANS INC.,BLACK-CAR,(347)993-9793,,97-28  221 STREET JAMAICA NY 11429
2970,B02970,FLYTE LINE TRANSPORTATION LLC,BLACK-CAR,(888)888-5466,ADDISONLEE.COM,365 RIFLE CAMP ROAD SUITE 202 WOODLAND NJ 07424
2687,B02687,ECO RIDE INC.,LIVERY,(718)646-3500,,6002 FOSTER AVENUE BROOKLYN NY 11236
3536,B03536,AFY GROUP INC,BLACK-CAR,(800)659-0715,,353 WEST 48TH SREET 4TH FL NEW YORK NY 10036
1367,B01367,"ROYAL DISPATCH SERVICES, INC.",BLACK-CAR,(718)706-2200,WWW.NYBLACKCAR.COM,32-72 GALE AVENUE LIC NY 11101
3679,B03679,RYVE NY INC.,BLACK-CAR,(718)286-9198,,100 LAWRENCE ST 103 NANUET NY 10954
3331,B03331,GIGI NYC INC,BLACK-CAR,(718)559-8383,,96-28 ALSTYNE AVENUE ELMHURST NY 11373
2160,B02160,"12TH STREET LUXURY CARS, INC.",BLACK-CAR,(347)924-0045,,35-58   12 STREET ASTORIA NY 11106
2724,B02724,"CORE CAR, INC",LUXURY,(203)348-3199,WWW.CORECAR.COM,30 COMMERCE ROAD STAMFORD CT 06902
2774,B02774,ALFRED HOLDINGS INC.,BLACK-CAR,(718)509-1111,WWW.ALFREDEXECTRANSPORTATION.COM,31-00   47 AVENUE 3RD SUITE 3100 LIC NY 11101
3057,B03057,PROSPECT LUXURY CAR SERVICE,BLACK-CAR,(929)400-3838,PROPECTLUXURY.COM,1161 SOUTHERN BOULEVARD BRONX NY 10459
2671,B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,LIVERY,(718)366-8800,,896 WYCKOFF AVENUE 2R BROOKLYN NY 11237
2532,B02532,COZY RIDE LIMOUSINE INC,BLACK-CAR,(718)359-5000,COZYRIDE.NET,36-22A UNION STREET SUITE #3R FLUSHING NY 11354
2401,B02401,NORTHSIDE BK LLC,BLACK-CAR,(718)963-4444,,207 BEDFORD AVENUE BROOKLYN NY 11211
3195,B03195,DOMINICAN DREAM TRANSPORTATION INC.,BLACK-CAR,(718)304-5353,,387 EAST  167 STREET BRONX NY 10456
3694,B03694,RAM TRANSIT INC.,BLACK-CAR,(929)338-9913,,187 BAY   34 STREET 1ST FL. BROOKLYN NY 11214
3326,B03326,RESQ RIDE CORP.,BLACK-CAR,(844)347-7377,,514 UNION AVE MT. VERNON NY 10550
3041,B03041,PUEBLA CITY INC.,LIVERY,(718)437-0707,,3916    9 AVENUE BROOKLYN NY 11232
3394,B03394,NEW ELEGANTE CAR SERVICE INC,BLACK-CAR,(718)492-7680,WWW.ELEGANTETS.COM,14 BRUCKNER BOULEVARD BRONX NY 10454
3720,B03720,HERMES TRANSIT INC,BLACK-CAR,(954)562-1186,,35-58   12 STREET ASTORIA NY 11106
3100,B03100,MORELOS CAR SERVICE INC.,BLACK-CAR,(718)837-8200,,1810 WEST    6 STREET BROOKLYN NY 11223
3239,B03239,CIBAO 2 INC.,BLACK-CAR,(718)478-2288,CIBAO2INC.COM,112 - 44 ROOSEVELT AVENUE FLUSHING NY 11368
2655,B02655,LONG ISLAND CITY CAR AND LIMO INC.,BLACK-CAR,(718)937-1177,,6902   18 AVENUE BROOKLYN NY 11204
3286,B03286,"MITA LIMOUSINE, INC.",BLACK-CAR,(212)679-3939,WWW.MITALIMO.COM,208 WEST   29 STREET #203 NEW YORK NY 10001
1843,B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",LUXURY,(718)729-0900,WWW.VINCENTLIMOUSINE.COM,42-06 BROADWAY ASTORIA NY 11103
3245,B03245,UASLUXURY1 INC,BLACK-CAR,(646)684-0001,,85-56  118 STREET KEW GARDENS NY 11415
3171,B03171,HIGHLAND TRANSPORTATION MANAGEMENT CORP.,BLACK-CAR,(718)271-2700,,34-18 NORTHERN BOULEVARD LIC NY 11101
3206,B03206,KIDMOTO TECHNOLOGIES LLC,BLACK-CAR,(347)612-2091,WWW.KIDMOTO.TAXI,40 WALL STREET STE 2718 NEW YORK NY 10005
3145,B03145,YERZ CAR INC.,BLACK-CAR,(718)504-8383,,1018 CASTLE HILL AVENUE OFFICE#2 BRONX NY 10472
3153,B03153,GYPSY TRANSPORTATION CORP.,BLACK-CAR,(718)617-1111,WWW.GYPSYTRANSCORP.COM,1684 GLEASON AVENUE BRONX NY 10472
2285,B02285,"VALERA GLOBAL, INC.",LUXURY,(718)433-1111,WWW.VALERAGLOBAL.COM,1200 SHAMES DRIVE UNIT D WESTBURY NY 11590
3123,B03123,CLAY TRANSPORTATION INC.,BLACK-CAR,(718)942-5544,CLAYTRANSPORTATION.COM,788 EAST TREMONT AVENUE BRONX NY 10460
2735,B02735,"BEST DEAL CAR SERVICE 2,INC.",LIVERY,(718)379-0009,,2100 BARTOW AVENUE BRONX NY 10475
3170,B03170,PAISA CLASSIC BLACK INC.,BLACK-CAR,(718)476-7878,,38-12 ASTORIA BOULEVARD LONGISLAND CITY NY 11102
3158,B03158,SPOTON.PET LLC,BLACK-CAR,(833)477-6866,WWW.SPOTON.PET/,77 SANDS STREET BROOKLYN NY 11201
3097,B03097,AERO LIMO INC,BLACK-CAR,(917)535-8712,,53-12  104 STREET CORONA NY 11368
900,B00900,BIG Q CAR SVC. INC.,LIVERY,(718)846-4500,,86-29  102 STREET RICHMOND HILL NY 11418
3473,B03473,WELLNESS TRANSIT LLC,BLACK-CAR,(718)313-0291,WWW.WELLNESS-TRANSIT.COM,15 EAST 21ST STREET HUNTINGTON NY 11746
3574,B03574,TALK TO US RIDE CORP.,BLACK-CAR,(718)485-4686,,866 NEW LOTS AVENUE 2A BROOKLYN NY 11208
1985,B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",BLACK-CAR,(718)832-2600,WWW.GOINLUXURY.COM,209   25 STREET BROOKLYN NY 11232
3334,B03334,WTM 365 INC.,LUXURY,(516)318-4721,WWW.WTM365.COM,1979 MARCUS AVENUE LAKE SUCCESS NY 11042
3548,B03548,PLUS LUXURY CORP,BLACK-CAR,(929)607-9191,,20 WELLINGTON CT SHELTON CT 06484
1803,B01803,"V.I.P. CONNECTION, INC.",BLACK-CAR,(718)392-6100,WWW.VIPSLIMO.COM,1751 BATH AVENUE BROOKLYN NY 11214
3603,B03603,T7T LIMO INC,BLACK-CAR,(347)530-7000,,200 BROADHOLLOW ROAD 207 MELVILLE NY 11747
2975,B02975,LI YANG LIMOUSINE INC,BLACK-CAR,(929)337-9394,WWW.LIYANGLIMO.COM,6902   15 AVENUE BROOKLYN NY 11228
3585,B03585,DOORLUX LLC,BLACK-CAR,(833)366-7589,WWW.NASIBLE.COM,2012 FULTON STREET #2B BROOKLYN NY 11233
3644,B03644,RIDE SOHO INC,BLACK-CAR,(212)875-5212,,200 BROADHOLLOW ROAD SUITE 207 MELVILLE NY 11747
628,B00628,"CONCORD LIMOUSINE 1, LLC",BLACK-CAR,(718)965-6150,,712    3 AVENUE BROOKLYN NY 11232
3521,B03521,FIRST OCEANA BLACK CAR INC.,BLACK-CAR,(718)375-1001,,2395 CONEY ISLAND AVENUE BROOKLYN NY 11223
2637,B02637,ROOSEVELT CAR & LIMO INC.,BLACK-CAR,(718)786-8888,,3708  100 STREET CORONA NY 11368
3051,B03051,VILLE DE LA LIBERTE CHAUFFEUR INC,BLACK-CAR,(718)788-8888,WWW.LIBERTEVILLECHAUFFEUR.NYC,689 SENECA AVENUE FLUSHING NY 11385
3391,B03391,TIAZ LIMO CAR SERVICE CORP,BLACK-CAR,(347)612-9203,,8136 BAXTER AVENUE ELMHURST NY 11373
3018,B03018,AUREUS LLC,BLACK-CAR,(917)887-2105,WWW.AUREUS.NYC.COM,240 KENT AVENUE BROOKLYN NY 11249
3514,B03514,CHAUFFEUR ON DEMAND CORP.,LUXURY,(516)840-0011,,1225 FRANKLIN AVE #325 GARDEN CITY NY 11530
3712,B03712,COMMUNITY PLUS CAR SERVICE LLC,BLACK-CAR,(646)295-6740,COMMUNITYPLUSCARSERVICE.COM,63 GARFIELD STREET SUTIE 1A YONKERS NY 10701
2747,B02747,LEGEND LUXURY LIMO INC.,BLACK-CAR,(718)788-1234,WWW.LEGENDSLIMOUSINE.COM,209   25 STREET 2ND FLR BROOKLYN NY 11232
2794,B02794,ASAP LUXE INC,BLACK-CAR,(718)363-0046,WWW.ASAPLUXE.COM,1304 UTICA AVENUE BROOKLYN NY 11203
149,B00149,RAINBOW RAD DISP INC,LIVERY,(718)498-4444,,1304 UTICA AVENUE BROOKLYN NY 11203
911,B00911,"RIVERSIDE PLUS RADIO DISPATCH, INC.",LIVERY,(718)365-8888,RIVERSIDECARLIMO.COM,2383 WASHINGTON AVENUE BRONX NY 10458
3191,B03191,GUILLEN TRANSPORTATION SERVICES INC,BLACK-CAR,(718)305-4510,,1842 WEBSTER AVENUE SUITE 100 BRONX NY 10457
2944,B02944,SCORPIO FIVE STAR CAR & LIMO SERVICE INC,BLACK-CAR,(917)683-9470,,127-19 ROCKAWAY BOULEVARD SOUTHOZONE PARK NY 11420
3314,B03314,"JBK NEW YORK, INC.",BLACK-CAR,(212)239-0363,WWW.COMFOLIMO.COM,325 WEST 38TH STREET 209 NEW YORK NY 10018
965,B00965,BEN JEVO MGT. INC.,LIVERY,(718)442-2277,,2 TOMPKINS AVENUE STATEN ISLAND NY 10304
3296,B03296,ZIP CONNECTIONS INC,BLACK-CAR,(201)882-9654,WWW.BOOKALIMO.COM,139 WALINGTON AVE WALINGTON NJ 07057
3299,B03299,WHITE TOP CAR SVCE INC,BLACK-CAR,(718)774-6661,,1111 ST JOHNS PLACE BROOKLYN NY 11213
2825,B02825,GUADALUPANA II CAR & LIMO INC,BLACK-CAR,(718)621-0404,,6506   20 AVENUE BROOKLYN NY 11204
1268,B01268,LAKEVIEW CARS INC.,LIVERY,(718)442-0001,,1113 VICTORY BOULEVARD STATEN ISLAND NY 10301
3546,B03546,EXECUTIVE LUXURY SERVICE INC,LUXURY,(646)265-9545,,14 VAN SICLEN AVE FLORAL PARK NY 11001
3591,B03591,VUKEA CORP,BLACK-CAR,(347)317-1925,,145 STERLING ROAD ELMONT NY 11003
3626,B03626,VALUE TRANSPORTS LLC,BLACK-CAR,(914)432-4252,,65 GRAHAM AVENUE SUITE # 102 BROOKLYN NY 11206
3423,B03423,VETS CAR SERVICE INC,BLACK-CAR,(845)694-7004,,557 NORTH MACQUESTEN PARKWAY MOUNT VERNON NY 10552
3225,B03225,ALCON EXPRESS INC,BLACK-CAR,(718)524-4121,,1264 CASTLETON AVENUE STATEN ISLAND NY 10310
3595,B03595,WATSONBX TRANSPORTATION CORP,BLACK-CAR,(718)991-8747,,1681 BRUCKNER BOULEVARD BRONX NY 10472
1568,B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,LIVERY,(718)592-1300,WWW.NYMEXICANA.COM,97 - 52 CORONA AVENUE FLUSHING NY 11368
2969,B02969,LYFE AUTO GROUP INC,BLACK-CAR,(718)706-6234,LYFENYC.COM,32-10 GREENPOINT AVENUE LIC NY 11101
2248,B02248,HYBRID LIMO EXPRESS INC.,BLACK-CAR,(718)643-4600,,241   37 STREET STE#1-4-B460 BROOKLYN NY 11232
381,B00381,BELL RADIO INC,BLACK-CAR,(718)944-4955,CUSTOMERSERVICE@EXECUTIVECHARGE.COM,1751 BATH AVENUE BROOKLYN NY 11214
856,B00856,BEE-BEE CAR SERVICE INC.,LIVERY,(718)498-2525,,663 BLAKE AVENUE BROOKLYN NY 11207
1743,B01743,TWO-WAY BLACK CARS AND RADIO GROUP TRANS INC,LIVERY,(212)663-3333,,2642 BROADWAY 3 FL NEW YORK NY 10025
3683,B03683,BARR TRANSIT INC.,BLACK-CAR,(929)338-9913,,187 BAY   34 STREET 1ST. FL. BROOKLYN NY 11214
3276,B03276,510 BLACK CAR CORP.,BLACK-CAR,(718)485-1455,,2225 PITKIN AVENUE BROOKLYN NY 11207
3262,B03262,ROYALTY FAMILY CORP,BLACK-CAR,(917)831-0354,,2268 AMSTERDAM AVENUE NEW YORK NY 10032
1984,B01984,NY 88 EXPRESS CORP.,LIVERY,(718)238-8822,,6506   11 AVENUE BROOKLYN NY 11219
3636,B03636,ORIENTY INC,BLACK-CAR,(718)427-1405,,38 VINCENT ROAD HICKSVILLE NY 11801
2751,B02751,RELIANCE GROUP INC,LUXURY,(718)850-9100,,148-09 LIBERTY AVENUE JAMAICA NY 11435
208,B00208,ERNEST SCHWARZ INC,LUXURY,(877)811-4846,,15 CHAIN LANE HICKSVILLE NY 11801
221,B00221,PROFESSIONAL CAR SERVICE INC,LIVERY,(212)923-6565,,376 AUDUBON AVENUE NEW YORK NY 10033
2067,B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",BLACK-CAR,(212)629-8833,WWW.GROUPAMERICAR.COM,718    3 AVENUE BROOKLYN NY 11232
3368,B03368,BEST CHOICE CAR SERVICE CORPORATION,BLACK-CAR,(347)468-7823,,3668 BROADWAY NEW YORK NY 10031
1338,B01338,3210 WEBSTER AV PRESTIGE C/S,LIVERY,(718)798-7700,,3108 WEBSTER AVENUE BRONX NY 10467
3677,B03677,LAM TRANSPORTATION SERVICES CORP,BLACK-CAR,(914)477-3398,,73 MARKET STREET SUITE 376 YONKERS NY 10710
3293,B03293,A & Z LUXURY LIMOUSINE TRANSPORATION INC.,BLACK-CAR,(800)828-6140,AZLIMOINC.COM,21-03   44 AVENUE SUITE 201 L.I.C. NY 11101
2797,B02797,CJ LIMOUSINE LLC,BLACK-CAR,(201)242-5466,,1605 JOHN STREET SUITE 201 FORT LEE NJ 07024
3586,B03586,ANJ CAR SERVICE CORP,BLACK-CAR,(914)912-0532,,845 THIRD AVENUE 6TH FL V01 NEW YORK NY 10022
3466,B03466,AA START PLUS CORP.,BLACK-CAR,(929)590-1901,,3418 NORTHERN BOULEVARD VO3 L.I.C. NY 11101
2784,B02784,SMILE TRANSPORTATION GROUP INC,BLACK-CAR,(718)942-5566,,945 EAST  108 STREET SUITE B101 BROOKLYN NY 11236
3028,B03028,CASTILLO CAR & LIMO INC,BLACK-CAR,(718)499-4545,,440    4 AVENUE BROOKLYN NY 11215
2373,B02373,QUIET SERVICES INC,BLACK-CAR,(718)360-9383,,31-35   61 STREET FLUSHING NY 11377
2968,B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,BLACK-CAR,(347)991-6111,,2112 WESTCHESTER AVENUE BRONX NY 10462
3668,B03668,RXP TRANSIT LLC,BLACK-CAR,(347)630-6814,,152 EAST  118 STREET S1 NEW YORK NY 10035
3418,B03418,RIDE IN STYLE LIMO INC.,BLACK-CAR,(929)400-0719,,57 MERIDIAN RD LEVITTOWN NY 11756
3506,B03506,"KLS WORLDWIDE CHAUFFERURED SERVICES, INC.",LUXURY,(800)381-5301,KLSLIMONY.COM,271 U.S.46 WEST SUITE 204 FAIRFIELD NJ 07004
3505,B03505,LA ECUATORIANA LUXURY INC,BLACK-CAR,(718)300-6040,HTTPS://WWW.LAECUATORIANALUX.COM,2402   86 STREET BROOKLYN NY 11214
2180,B02180,PEGASUS TRANSPORT SERVICE INC.,LUXURY,(201)867-1677,WWW.PEGASUSCARSERVICE.COM,800 CENTRAL BLVD SUITE D CARLSTADT NJ 07072
3675,B03675,DOTLINKS LLC,BLACK-CAR,(718)365-2100,,2173 GRAND CONCOURSE BRONX NY 10453
3687,B03687,QUICK LUXURY RIDE INC,LUXURY,(855)575-7433,,5505   43 STREET 1ST FL MASPETH NY 11378
196,B00196,NEW EASY WAY RADIO DISP INC,LIVERY,(212)360-5555,,220 EAST  116 STREET NEW YORK NY 10029
972,B00972,N.J.M.INC.,LIVERY,(718)967-2500,,5230 ARTHUR KILL ROAD STATEN ISLAND NY 10307
2863,B02863,NYC MIDDTOWN LIMO CORP,BLACK-CAR,(718)848-1221,WWW.NYCMIDTOWNLIMO.COM,100-01   97 AVENUE JAMAICA NY 11416
2901,B02901,GALLANT LUXURY SERVICE CORP.,BLACK-CAR,(212)304-0707,GALLANTLUXURYSERVICE.COM,5030 BROADWAY SUITE 659 NEW YORK NY 10034
2661,B02661,MIC-LOU CAR SERVICES_LLC,LIVERY,(718)720-4444,LULUCARSERVICES.COM,2 TOMPKINS AVENUE STATEN ISLAND NY 10304
3700,B03700,GENESTAR VIP LIMO INC,BLACK-CAR,(347)685-0740,,100 DUFFY AVE SUITE 510 HICKSVILLE NY 11801
3236,B03236,AGUILA CAR & LIMO CORPORATION,BLACK-CAR,(718)393-3333,,51-47   69 STREET FLUSHING NY 11377
3017,B03017,SDR TRANSPORTATION CORP.,BLACK-CAR,(718)863-0002,,3800 EAST TREMONT AVENUE #2 BRONX NY 10465
3329,B03329,KIDAULT KAR LLC.,BLACK-CAR,(347)380-6266,WWW.KIDAULT.COM,42 WEST STREET 2ND FL/11C BROOKLYN NY 11222
3266,B03266,HOYT LIMO & SERVICE CORP.,BLACK-CAR,(718)204-5861,,2303 ASTORIA BOULEVARD LONGISLAND CITY NY 11102
1482,B01482,SHORE TRANSPORTATION INC,LIVERY,(718)646-6666,,3173 CONEY ISLAND AVENUE BROOKLYN NY 11235
2331,B02331,"CHICO EXPRESS LIMO, INC.",BLACK-CAR,(718)236-7777,,6401   11 AVENUE BROOKLYN NY 11219
8,B00008,T-D MAINTENANCE CORP,LIVERY,(718)456-1111,,127-01 METROPOLITAN AVENUE KEW GARDENS NY 11415
3433,B03433,STATUS RIDE LLC,BLACK-CAR,(347)656-4141,STATUSRIDE.CO,4072 HYLAN BOULEVARD SUITE A1 STATEN ISLAND NY 10308
2148,B02148,MAVRIK TRANS INC.,BLACK-CAR,(516)488-4600,WWW.MAVRIKTRANS.COM,247-34 JERICHO TURNPIKE BELLEROSE NY 11001
3124,B03124,MARR LIMO LLC,LUXURY,(347)744-2474,,177 WHITE PLAINS RD 77A TARRYTOWN NY 10591
2898,B02898,SANO CAR LLC,BLACK-CAR,(212)567-5009,SANOBLACKCAR.COM,5030 BROADWAY SUITE 676 NEW YORK NY 10034
3544,B03544,CCM LLC,BLACK-CAR,(646)991-1919,,4533   37 STREET QUEENS NY 11101
3624,B03624,STREETLINK INC,BLACK-CAR,(718)504-7300,,4105   69 STREET FLUSHING NY 11377
3285,B03285,FLUSHING LIMOUSINE TRANSPORTATION SERVICE CORP.,BLACK-CAR,(718)358-1111,,3609  164 STREET FLUSHING NY 11358
2917,B02917,C & A BLACK CAR CORP.,BLACK-CAR,(718)405-2222,,3106 WEBSTER AVENUE BRONX NY 10467
3324,B03324,PORT RICHMOND BLACK CAR INC.,BLACK-CAR,(718)448-0006,PORTRICHMONDBC.COM,103 PORT RICHMOND AVENUE STATEN ISLAND NY 10302
3033,B03033,FLEX EXPRESS CORP.,BLACK-CAR,(718)602-5000,,1266 MYRTLE AVENUE BROOKLYN NY 11221
2303,B02303,MINEOLA TRANSPORTATION INC.,BLACK-CAR,(917)859-5195,,1267 ATLANTIC AVENUE BROOKLYN NY 11216
3204,B03204,EXTRA CAR SERVICE LLC,BLACK-CAR,(718)684-1379,,1041A CASTLE HILL AVENUE BRONX NY 10472
3504,B03504,ABT CHAUFFEUR SERVICES LLC,LUXURY,(212)631-9970,,10 WEST   66 STREET NEW YORK NY 10023
2060,B02060,AMERICAN LIMOUSINE LLC,LUXURY,(201)529-3610,WWW.FLYTETYMELIMO.COM,365 RIFLE CAMP ROAD SUITE 202 WOODLAND NJ 07424
3492,B03492,MARINA CAR SERVICE INC,BLACK-CAR,(718)622-2222,WWW.MARINACARSERVICE.COM,9425    5 AVENUE BROOKLYN NY 11209
3710,B03710,EASTBOUND SERVICE CORP.,BLACK-CAR,(718)961-1111,,15 WEST HILLS RD HUNTINGTON STA NJ 11415
1215,B01215,ECUADOOR CORP,LIVERY,(718)204-8412,,44-10   30 AVENUE LIC NY 11103
3479,B03479,ALL YOU NEED TRANSPORTATION CORP,BLACK-CAR,(978)230-1486,,8 WEST 126TH STREET 3RD FLOOR NEW YORK NY 10027
3194,B03194,"SUNNY DAY TRANSPORTATION,CORP",BLACK-CAR,(718)409-6281,,1831 WOOD AVENUE BRONX NY 10460
2949,B02949,MEEM SERVICES INC,LUXURY,(917)482-7281,,24506 JERICHO TKPE SUITE#LL111 FLORAL PARK NY 11001
2967,B02967,ABIEL TRANSPORTATION CORP,BLACK-CAR,(718)733-6000,,261 EAST KINGSBRIDGE ROAD N-46 BRONX NY 10458
